address,area,baths,beds,date,lat,link,long,popularity,price,property_type,size,price_per_meter,price_per_bedroom
"126 Caisleán Way, Ballincollig, Co. Cork",An Caislean,3.0,3.0,2021-08-02,51.88419579207018,https://www.daft.ie/for-sale/semi-detached-house-126-caisle-n-way-ballincollig-co-cork/3483728,-8.604721941977742,1434,285000,Semi-D,87.0,3275.862068965517,95000.0
"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",Highfield,3.0,3.0,2021-08-02,51.88483134751023,https://www.daft.ie/for-sale/end-of-terrace-house-14-the-avenue-highfield-park-ballincollig-co-cork/3441522,-8.573114016875365,3536,325000,End of Terrace,108.0,3009.259259259259,108333.33333333333
"25 Innishmore Drive, Ballincollig, Co. Cork",Innishmore,2.0,3.0,2021-08-02,51.88897474404985,https://www.daft.ie/for-sale/bungalow-25-innishmore-drive-ballincollig-co-cork/3482025,-8.608958999892096,1916,229000,Bungalow,,,76333.33333333333
"194 The Willows, Ballincollig, Co. Cork",Carrigrohanebeg,2.0,3.0,2021-08-02,51.89309917070151,https://www.daft.ie/for-sale/semi-detached-house-194-the-willows-ballincollig-co-cork/3481893,-8.580849757357647,1770,249500,Semi-D,,,83166.66666666667
"15 Glincool Grove, Ballincollig, Co. Cork",Maglin,2.0,4.0,2021-08-02,51.88135112776452,https://www.daft.ie/for-sale/detached-house-15-glincool-grove-ballincollig-co-cork/3480568,-8.59523805920491,1558,315000,Detached,,,78750.0
"21 Leesdale Drive, Ballincollig, Co. Cork",Carrigrohane,2.0,3.0,2021-08-02,51.89118108080445,https://www.daft.ie/for-sale/semi-detached-house-21-leesdale-drive-ballincollig-co-cork/3475146,-8.570433423222292,3110,260000,Semi-D,81.0,3209.8765432098767,86666.66666666667
"9 Highfield Crescent, Ballincollig, Co. Cork",Highfield,3.0,3.0,2021-08-02,51.88483134751023,https://www.daft.ie/for-sale/semi-detached-house-9-highfield-crescent-ballincollig-co-cork/3472933,-8.573114016875365,1741,370000,Semi-D,113.0,3274.336283185841,123333.33333333333
"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",Classis Lake,3.0,4.0,2021-08-02,51.88586099008718,https://www.daft.ie/for-sale/semi-detached-house-39-the-brambles-classes-lake-ballincollig-co-cork/3466672,-8.62822296864587,3181,360000,Semi-D,107.0,3364.4859813084113,90000.0
"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",Coolroe,2.0,4.0,2021-08-02,51.885279789132504,https://www.daft.ie/for-sale/bungalow-coolroe-ballincollig-cork-ballincollig-co-cork/3465760,-8.622716969745719,3163,380000,Bungalow,134.0,2835.820895522388,95000.0
"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",Old Quarter,3.0,3.0,2021-08-02,51.89008441064981,https://www.daft.ie/for-sale/semi-detached-house-79-coopers-grange-old-quarter-ballincollig-co-cork/3453918,-8.590014945710507,3823,345000,Semi-D,103.0,3349.5145631067962,115000.0
"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",Old Quarter,3.0,3.0,2021-08-02,51.89008441064981,https://www.daft.ie/for-sale/semi-detached-house-8-millers-court-old-quarter-ballincollig-co-cork/3453894,-8.590014945710507,2464,345000,Semi-D,106.0,3254.7169811320755,115000.0
"36 Castlepark, Ballincollig, Co. Cork",Castlepark,2.0,3.0,2021-08-02,51.88653927567583,https://www.daft.ie/for-sale/terraced-house-36-castlepark-ballincollig-co-cork/3451398,-8.585310716875346,4502,225000,Terrace,89.0,2528.0898876404494,75000.0
"104 Caisleán Grove, Ballincollig, Co. Cork",An Caislean,3.0,3.0,2021-08-02,51.88419579207018,https://www.daft.ie/for-sale/semi-detached-house-104-caisle-n-grove-ballincollig-co-cork/3447436,-8.604721941977742,2867,279000,Semi-D,89.0,3134.8314606741574,93000.0
"50 Old Court, Greenfields, Ballincollig, Co. Cork",Greenfield,3.0,3.0,2021-08-02,51.88072634468435,https://www.daft.ie/for-sale/semi-detached-house-50-old-court-greenfields-ballincollig-co-cork/3465112,-8.611355403381312,2262,350000,Semi-D,87.0,4022.9885057471265,116666.66666666667
"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",Muskerry Estate,2.0,4.0,2021-08-02,51.885514844369936,https://www.daft.ie/for-sale/semi-detached-house-22-beech-road-muskerry-estate-ballincollg-ballincollig-co-cork/3439813,-8.596310161258103,1872,350000,Semi-D,130.0,2692.3076923076924,87500.0
"2 Glendower Court, Ballincollig, Co. Cork",Glendower Court,2.0,4.0,2021-08-02,51.89097713659068,https://www.daft.ie/for-sale/semi-detached-house-2-glendower-court-ballincollig-co-cork/3411945,-8.579260601534097,4067,315000,Semi-D,,,78750.0
"Fatima, Poulavone, Ballincollig, Co. Cork",Town Center,2.0,4.0,2021-08-02,51.8878563321983,https://www.daft.ie/for-sale/bungalow-fatima-poulavone-ballincollig-co-cork/2933649,-8.600737381727024,11962,365000,Bungalow,106.0,3443.396226415094,91250.0
"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",Ovens,2.0,3.0,2021-08-02,51.88127654707539,https://www.daft.ie/for-sale/semi-detached-house-20-oak-avenue-classes-lake-ovens-co-cork/3245743,-8.658682937965343,4933,300000,Semi-D,,,100000.0
"17 Coolroe Heights, Ballincollig, Co. Cork",Coolroe,2.0,4.0,2021-08-02,51.885279789132504,https://www.daft.ie/for-sale/semi-detached-house-17-coolroe-heights-ballincollig-co-cork/3290154,-8.622716969745719,3449,295000,Semi-D,118.0,2500.0,73750.0
"Farran Ovens, Ballincollig, Co. Cork",Ovens,2.0,4.0,2021-08-02,51.88127654707539,https://www.daft.ie/for-sale/bungalow-farran-ovens-ballincollig-co-cork/1519052,-8.658682937965343,24192,325000,Bungalow,167.0,1946.1077844311378,81250.0
"36 Westcourt Heights, Ballincollig, Co. Cork",Westcourt,2.0,4.0,2021-08-02,51.88681255417706,https://www.daft.ie/for-sale/detached-house-36-westcourt-heights-ballincollig-co-cork/3413318,-8.616295628522487,5326,345000,Detached,129.0,2674.4186046511627,86250.0
